operador,corredor,url_cotizador,precio_visible_sin_cuenta,requiere_registro_o_login,carga_sin_js_pesado,comision_200,tipo_cambio_200,monto_recibido_200,bloqueos_captcha_antibot,notas,fecha_verificacion
Western Union,US->SV,https://www.westernunion.com/us/en/web/send-money/start?ReceiveCountry=SV,Si,No,No - SPA React; el HTML inicial muestra 0.00 y los precios solo aparecen tras interactuar,Retiro en efectivo: cuenta bancaria 0.00 USD; tarjeta debito 0.00; Apple Pay 0.00; tarjeta credito 6.00; Google Pay 6.00,1 USD = 1 USD (El Salvador dolarizado; WU no muestra linea de TC en este corredor),200.00 USD,Banner de cookies. Sin CAPTCHA. Accesible desde IP canadiense.,"Flujo de 3 pasos en una sola pagina: pais -> monto -> metodo de entrega -> metodo de pago. Muestra comision por metodo de pago. Limite 5,000 USD. Aviso 'Log in to check if your transfer can be delivered in real time' pero no bloquea el precio.",2026-07-31
Western Union,CA->SV,https://www.westernunion.com/ca/en/web/send-money/start?ReceiveCountry=SV,Si,No,No - SPA; el precio se carga por API tras seleccionar pais,"Tarifa de lista: 1.99 CAD (cuenta bancaria via Plaid / Interac e-Transfer); 3.99 CAD (Google Pay); 6.99 CAD (tarjeta credito, incluye 3% extra). TODAS mostradas en 0.00 CAD por promo '$0 fee' de primera transferencia",1 CAD = 0.6950 USD,139.00 USD,Banner de cookies. Sin CAPTCHA.,"UI distinta a la de EE.UU. La pantalla principal NO desglosa comision: solo 'Receiver gets'. Hay que abrir 'Change > Payment method' para ver las tarifas. La promo de primera transferencia distorsiona la comision observada: registrar SIEMPRE el precio tachado, no el 0.00. Limite 14,384 CAD.",2026-07-31
MoneyGram,US->SV,https://www.moneygram.com/us/en/send-and-receive/money-transfers-online,Si,No,No - widget JS,4.49 USD (tarifa de lista) tachada a 0.00 USD por promo de primera transferencia,1 USD = 1.00 USD,200.00 USD,Banner de cookies (Accept/Reject). Sin CAPTCHA. Accesible desde IP canadiense.,"La URL corta /mgo/us/en/send/ redirige aqui. El widget muestra UNA sola comision, sin desglose por metodo de pago ni de entrega; para eso hay que avanzar en el flujo. Selector de pais con buscador.",2026-07-31
MoneyGram,CA->SV,https://www.moneygram.com/ca/en/send-and-receive/money-transfers-online,Si,No,No - widget JS,3.99 CAD (lista) tachada a 0.00 CAD por promo de primera transferencia,1 CAD = 0.69 USD estandar; 0.71 USD promo primera transferencia (el calculo usa la promo),141.30 USD,Banner de cookies. Sin CAPTCHA.,Muestra explicitamente TC estandar tachado vs TC promocional: util para medir el margen real. Aviso en el sitio: desde el 1 oct 2026 MoneyGram deja de operar en Canada Post.,2026-07-31
Ria Money Transfer,US->SV,https://www.riamoneytransfer.com/en-us/,Si,No,No - SPA,2.90 USD (lista) tachada a 0 USD por 'first transfer fee',1 USD = 1.000000 USD,200.00 USD,Sin CAPTCHA. Pop-up promocional (Venezuela) que tapa el boton; se cierra con la X.,"Cotizador con selectores de metodo de pago y metodo de entrega (Bank/Bank por defecto), lo que permite comparar combinaciones. Los parametros de URL (?destinationCountry=SLV) NO fijan el pais; hay que elegirlo en el modal 'Select Destination'.",2026-07-31
Ria Money Transfer,CA->SV,https://www.riamoneytransfer.com/en-ca/,Si,No,No - SPA,3.99 CAD (lista) tachada a 0 CAD por 'first transfer fee',1 CAD = 0.69370 USD estandar; 0.705107 USD promo primera transferencia,141.02 USD,Sin CAPTCHA. Pop-up promocional.,Muestra TC estandar tachado junto al promocional (6 decimales): la mejor fuente de las revisadas para calcular margen cambiario. Por defecto Debit card + Cash pickup.,2026-07-31
Remitly,US->SV,https://www.remitly.com/us/en/el-salvador/pricing,Si,No,PARCIAL - el tarifario estatico SI viene en el HTML del servidor (scrapeable sin JS); los valores del calculador requieren JS,"6.43 USD, con 'Fee discount' de -6.43 USD (oferta de cliente nuevo). Tarifario publicado: retiro en efectivo 1.22% + 4.99 USD; deposito bancario / billetera / tarjeta debito 1.22% + 3.99 USD (a partir de 500 USD: 0.7% + el mismo fijo)",1 USD = 1.00 USD ('Everyday rate'),200.00 USD,Sin CAPTCHA ni banner de cookies. Accesible desde IP canadiense.,"La mejor pagina para scraping: el HTML crudo trae la tabla completa de comisiones por metodo de entrega y por tramo de monto. Verificacion aritmetica: 1.22% x 200 + 3.99 = 6.43, coincide con el calculador (deposito bancario). Botones rapidos de 200/2,000/5,000 USD.",2026-07-31
Remitly,CA->SV,https://www.remitly.com/ca/en/el-salvador/pricing,Si,No,PARCIAL - igual que la version US,2.99 CAD con descuento de -2.99 CAD (cliente nuevo),"1 CAD = 0.7136 USD (tarifa de bienvenida, aplica a los primeros 500 CAD); estandar 1 CAD = 0.6996 USD",142.72 USD,Sin CAPTCHA.,Declara explicitamente que la tarifa de bienvenida solo cubre los primeros 500 CAD y que el resto va al TC estandar: relevante para el corte de 500.,2026-07-31
Viamericas,US->SV,https://www.govianex.com/ (destino del boton 'Send money online' en https://corporate.viamericas.com/),No,No se pudo determinar,No aplica - la pagina no carga,No visible,No visible,No visible,BLOQUEO: CloudFront devuelve '403 ERROR - The request could not be satisfied. Request blocked.' desde IP canadiense. El dominio sin www (govianex.com) no resuelve.,"No se encontro cotizador publico. El sitio corporativo describe 'vianex' como canal digital de APIs para socios (B2B), no como cotizador de consumidor. Reintentar desde IP de EE.UU. antes de descartarlo definitivamente.",2026-07-31
Viamericas,CA->SV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Viamericas no opera como remitente desde Canada.,2026-07-31
